Season,Round,Age,Location,name,value
Spring/Summer,1,32,Berth G,Fat~(g~m^-2),0.21806511999999992
Spring/Summer,1,32,Berth G,Protein~(g~m^-2),0.9345647999999998
Spring/Summer,1,32,Berth G,EPA~(g~m^-2),0.019421067811990905
Spring/Summer,1,32,Berth G,SFA~(g~m^-2),0.072522816288921
Spring/Summer,1,32,Berth G,MUFA~(g~m^-2),0.03287584362047831
Spring/Summer,1,32,Berth G,PUFA~(g~m^-2),0.056636032889562676
Spring/Summer,1,32,Berth G,ω-3~PUFA~(g~m^-2),0.033400737345126705
Spring/Summer,1,32,Berth G,Dry~weight~(g~m^-2),23.04266666666667
Spring/Summer,1,32,Berth G,Fat~(g~m^-2),0.20507973333333335
Spring/Summer,1,32,Berth G,Protein~(g~m^-2),3.0877173333333334
Spring/Summer,1,32,Berth G,EPA~(g~m^-2),0.009332223842345765
Spring/Summer,1,32,Berth G,SFA~(g~m^-2),0.07493612022178346
Spring/Summer,1,32,Berth G,MUFA~(g~m^-2),0.0312547637105931
Spring/Summer,1,32,Berth G,PUFA~(g~m^-2),0.032744645060862325
Spring/Summer,1,32,Berth G,ω-3~PUFA~(g~m^-2),0.022151752383673364
Spring/Summer,1,54,Berth C,Dry~weight~(g~m^-2),45.65119999999999
Spring/Summer,1,54,Berth C,Fat~(g~m^-2),0.2739071999999999
Spring/Summer,1,54,Berth C,Protein~(g~m^-2),4.519468799999999
Spring/Summer,1,54,Berth C,EPA~(g~m^-2),0.01763878754709975
Spring/Summer,1,54,Berth C,SFA~(g~m^-2),0.08164553785863798
Spring/Summer,1,54,Berth C,MUFA~(g~m^-2),0.03600517508051737
Spring/Summer,1,54,Berth C,PUFA~(g~m^-2),0.05842848374976793
Spring/Summer,1,54,Berth C,ω-3~PUFA~(g~m^-2),0.04363395069463802
Spring/Summer,1,54,Berth C,Dry~weight~(g~m^-2),80.0272
Spring/Summer,1,54,Berth C,Fat~(g~m^-2),0.4881659199999999
Spring/Summer,1,54,Berth C,Protein~(g~m^-2),11.683971199999998
Spring/Summer,1,54,Berth C,EPA~(g~m^-2),0.03758260590807278
Spring/Summer,1,54,Berth C,SFA~(g~m^-2),0.14598493482417016
Spring/Summer,1,54,Berth C,MUFA~(g~m^-2),0.0637338358524401
Spring/Summer,1,54,Berth C,PUFA~(g~m^-2),0.11466609656744288
Spring/Summer,1,54,Berth C,ω-3~PUFA~(g~m^-2),0.0843651205540592
Spring/Summer,1,54,Berth C,Dry~weight~(g~m^-2),86.19146666666666
Spring/Summer,1,54,Berth C,Fat~(g~m^-2),0.5688636799999999
Spring/Summer,1,54,Berth C,Protein~(g~m^-2),9.998210133333332
Spring/Summer,1,54,Berth C,EPA~(g~m^-2),0.04100429702287258
Spring/Summer,1,54,Berth C,SFA~(g~m^-2),0.1751794689477167
Spring/Summer,1,54,Berth C,MUFA~(g~m^-2),0.07544790652208552
Spring/Summer,1,54,Berth C,PUFA~(g~m^-2),0.12911797529202318
Spring/Summer,1,54,Berth C,ω-3~PUFA~(g~m^-2),0.09084729807067544
Spring/Summer,1,54,Berth G,Dry~weight~(g~m^-2),89.5445333333333
Spring/Summer,1,54,Berth G,Fat~(g~m^-2),0.6178572799999998
Spring/Summer,1,54,Berth G,Protein~(g~m^-2),14.86439253333333
Spring/Summer,1,54,Berth G,EPA~(g~m^-2),0.05181222407230892
Spring/Summer,1,54,Berth G,SFA~(g~m^-2),0.18060260962347682
Spring/Summer,1,54,Berth G,MUFA~(g~m^-2),0.07850785571337479
