Season,Round,Age,Location,Replicate,% moisture,Wet weight g,Protein g/100g dry weight,Protein g/100g wet weight,fat g/100g dry weight,fat g/100g wet weight,fat mg/g dry weight,fat mg/g wet weight,total fat (g/cm2),protein g/cm2,No. of days,average dry weight accumulation (g/m2/day),average daily fat accumulation (g/m2/day),average daily protein accumulation (g/m2/day),dry weight,name,value
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,Fat~(g/m^2),4.729007999999999
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,Dry~weight~(g),1.0683
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,Protein~(g/m^2),26.778720000000003
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,EPA~(g/m^2),0.1665783932121419
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,SFA~(g/m^2),2.063300552286758
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,MUFA~(g/m^2),0.8090409688507892
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,PUFA~(g/m^2),0.5996822155637108
Spring/Summer,1,13,Berth G,A,92.4,13.9929,4.7,0.4,0.83,0.06,8.3,0.63,4.7290079999999995e-4,0.0026778720000000004,13,0.08217692307692308,0.3637698461538461,2.059901538461539,1.0683,ω3~PUFA~(g/m^2),0.34527157865789415
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,Fat~(g/m^2),4.367866666666662
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,Dry~weight~(g),0.9634999999999989
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,Protein~(g/m^2),33.4013333333333
