"name","contrast","estimate","SE","df","t.ratio","p.value"
"C15:0 pentadecanoic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.18,0.05,63,3.57,"0.009"
"C15:0 pentadecanoic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0,0.05,63,-0,">0.999"
"C16:0 palmitic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.2,0.05,63,4.13,"0.001"
"C16:0 palmitic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.49,0.05,63,10.19,"<0.001"
"C16:0 palmitic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.13,0.05,63,2.63,"0.105"
"C16:0 palmitic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.14,0.05,63,2.96,"0.048"
"C16:0 palmitic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",-0.03,0.05,63,-0.64,"0.988"
"C16:0 palmitic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.29,0.05,63,6.06,"<0.001"
"C16:0 palmitic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.07,0.05,63,-1.5,"0.665"
"C16:0 palmitic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.06,0.05,63,-1.18,"0.847"
"C16:0 palmitic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.23,0.05,63,-4.77,"<0.001"
"C16:0 palmitic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.36,0.05,63,-7.56,"<0.001"
"C16:0 palmitic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.34,0.05,63,-7.23,"<0.001"
"C16:0 palmitic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.52,0.05,63,-10.82,"<0.001"
"C16:0 palmitic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.02,0.05,63,0.33,">0.999"
"C16:0 palmitic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.16,0.05,63,-3.27,"0.021"
"C16:0 palmitic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.17,0.05,63,-3.59,"0.008"
"C16:1 palmitoleic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.4,0.06,63,6.21,"<0.001"
"C16:1 palmitoleic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",1.03,0.06,63,15.92,"<0.001"
"C16:1 palmitoleic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.14,0.06,63,-2.17,"0.269"
"C16:1 palmitoleic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",-0.61,0.06,63,-9.44,"<0.001"
"C16:1 palmitoleic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",-0.59,0.06,63,-9.01,"<0.001"
"C16:1 palmitoleic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.63,0.06,63,9.71,"<0.001"
"C16:1 palmitoleic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.54,0.06,63,-8.38,"<0.001"
"C16:1 palmitoleic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-1.02,0.06,63,-15.66,"<0.001"
"C16:1 palmitoleic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.99,0.06,63,-15.22,"<0.001"
"C16:1 palmitoleic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-1.18,0.06,63,-18.09,"<0.001"
"C16:1 palmitoleic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-1.65,0.06,63,-25.37,"<0.001"
"C16:1 palmitoleic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-1.62,0.06,63,-24.93,"<0.001"
"C16:1 palmitoleic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.47,0.06,63,-7.28,"<0.001"
"C16:1 palmitoleic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.44,0.06,63,-6.84,"<0.001"
"C16:1 palmitoleic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.03,0.06,63,0.44,"0.998"
"C16:2n4 hexadecadienoic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.16,0.03,63,4.52,"<0.001"
"C16:2n4 hexadecadienoic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.33,0.03,63,9.69,"<0.001"
"C16:2n4 hexadecadienoic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.56,0.03,63,-16.33,"<0.001"
