"Units","FAME","Season","Age","n","min","max","median","iqr","mean","sd","se","ci"
"% FA","C18:0 stearic acid","Spring/Summer","32",12,2.6,7.2,4.9,2.025,5.308,1.454,0.42,0.924
"% FA","C18:0 stearic acid","Autumn/Winter","32",12,0.82,1.3,1.1,0.193,1.05,0.151,0.044,0.096
"% FA","C18:0 stearic acid","Spring/Summer","54",12,2.1,6.3,5.65,1.35,5.092,1.286,0.371,0.817
"% FA","C18:0 stearic acid","Autumn/Winter","54",12,0.86,1.9,1.1,0.35,1.213,0.299,0.086,0.19
"% FA","C18:1n7 vaccenic acid","Spring/Summer","13",12,0.79,2.2,1.2,0.402,1.251,0.37,0.107,0.235
"% FA","C18:1n7 vaccenic acid","Autumn/Winter","13",12,0.93,3.2,1.7,0.75,1.819,0.702,0.203,0.446
"% FA","C18:1n7 vaccenic acid","Spring/Summer","32",12,1.2,3.4,2.45,1,2.533,0.683,0.197,0.434
"% FA","C18:1n7 vaccenic acid","Autumn/Winter","32",12,0.73,1.5,0.955,0.34,1.019,0.257,0.074,0.163
"% FA","C18:1n7 vaccenic acid","Spring/Summer","54",12,1.7,4.5,3.65,1.025,3.358,0.96,0.277,0.61
"% FA","C18:1n7 vaccenic acid","Autumn/Winter","54",12,0.76,2.2,1.05,0.395,1.168,0.407,0.117,0.259
"% FA","C18:1n9c oleic acid","Spring/Summer","13",12,3.3,6.7,4.95,1.275,4.867,0.953,0.275,0.605
"% FA","C18:1n9c oleic acid","Autumn/Winter","13",12,2.8,6,4.35,1.75,4.283,1.012,0.292,0.643
"% FA","C18:1n9c oleic acid","Spring/Summer","32",12,4.8,9.1,6.25,2.5,6.567,1.468,0.424,0.933
"% FA","C18:1n9c oleic acid","Autumn/Winter","32",12,1.3,2.3,2.1,0.325,2.008,0.294,0.085,0.187
"% FA","C18:1n9c oleic acid","Spring/Summer","54",12,4.7,10.3,6,1.375,6.675,1.756,0.507,1.115
"% FA","C18:1n9c oleic acid","Autumn/Winter","54",12,1.8,5.7,3.65,1.35,3.458,1.15,0.332,0.731
"% FA","C18:1t elaidic acid","Spring/Summer","13",12,0.11,0.36,0.19,0.092,0.194,0.075,0.022,0.048
"% FA","C18:1t elaidic acid","Autumn/Winter","13",12,0,0.66,0.12,0.345,0.184,0.218,0.063,0.139
"% FA","C18:1t elaidic acid","Spring/Summer","32",12,0.15,0.84,0.195,0.09,0.291,0.219,0.063,0.139
"% FA","C18:1t elaidic acid","Autumn/Winter","32",12,0.15,0.41,0.215,0.073,0.229,0.071,0.021,0.045
"% FA","C18:1t elaidic acid","Spring/Summer","54",12,0,0.57,0.27,0.268,0.283,0.179,0.052,0.114
"% FA","C18:1t elaidic acid","Autumn/Winter","54",12,0.17,0.42,0.245,0.11,0.256,0.077,0.022,0.049
"% FA","C18:2n6c linoleic acid","Spring/Summer","13",12,1.9,4.5,2.55,0.875,2.725,0.744,0.215,0.472
"% FA","C18:2n6c linoleic acid","Autumn/Winter","13",12,2.2,4.2,3.05,1.075,3.125,0.669,0.193,0.425
"% FA","C18:2n6c linoleic acid","Spring/Summer","32",12,2.1,4.3,3.15,0.975,3.025,0.686,0.198,0.436
"% FA","C18:2n6c linoleic acid","Autumn/Winter","32",12,1,3.4,2.6,0.85,2.508,0.719,0.208,0.457
"% FA","C18:2n6c linoleic acid","Spring/Summer","54",12,2.2,5.7,2.9,0.75,3.15,0.911,0.263,0.579
"% FA","C18:2n6c linoleic acid","Autumn/Winter","54",12,1.2,2.4,2.05,0.625,1.95,0.387,0.112,0.246
"% FA","C18:3n3 alpha linolenic acid (ALA)","Spring/Summer","13",12,1.3,5.8,2.4,1.125,2.567,1.242,0.359,0.789
"% FA","C18:3n3 alpha linolenic acid (ALA)","Autumn/Winter","13",12,0,1.5,0.2,0.733,0.407,0.497,0.143,0.316
"% FA","C18:3n3 alpha linolenic acid (ALA)","Spring/Summer","32",12,1.6,3.2,2.3,1.075,2.342,0.617,0.178,0.392
"% FA","C18:3n3 alpha linolenic acid (ALA)","Autumn/Winter","32",12,0.15,1.5,0.76,0.302,0.787,0.326,0.094,0.207
"% FA","C18:3n3 alpha linolenic acid (ALA)","Spring/Summer","54",12,1.1,5.3,1.95,0.55,2.117,1.07,0.309,0.68
"% FA","C18:3n3 alpha linolenic acid (ALA)","Autumn/Winter","54",12,0.42,2.6,1.65,1.17,1.595,0.758,0.219,0.482
"% FA","C18:3n4 octadecatrienoic acid","Spring/Summer","13",12,0,0.33,0.065,0.2,0.106,0.121,0.035,0.077
"% FA","C18:3n4 octadecatrienoic acid","Autumn/Winter","13",12,0,0.5,0,0,0.069,0.166,0.048,0.105
"% FA","C18:3n4 octadecatrienoic acid","Spring/Summer","32",12,0.35,1.6,0.82,0.535,0.921,0.404,0.117,0.257
"% FA","C18:3n4 octadecatrienoic acid","Autumn/Winter","32",12,0,0.35,0.12,0.155,0.109,0.116,0.033,0.074
"% FA","C18:3n4 octadecatrienoic acid","Spring/Summer","54",12,0.41,2.1,1.05,0.448,1.117,0.506,0.146,0.321
"% FA","C18:3n4 octadecatrienoic acid","Autumn/Winter","54",12,0,0.58,0.065,0.215,0.147,0.194,0.056,0.123
"% FA","C18:3n6 gamma linolenic (GLA)","Spring/Summer","13",12,0.45,1.2,0.67,0.213,0.715,0.216,0.062,0.137
"% FA","C18:3n6 gamma linolenic (GLA)","Autumn/Winter","13",12,0,0.72,0.5,0.592,0.382,0.295,0.085,0.188
"% FA","C18:3n6 gamma linolenic (GLA)","Spring/Summer","32",12,0.54,1.3,0.825,0.273,0.828,0.212,0.061,0.135
"% FA","C18:3n6 gamma linolenic (GLA)","Autumn/Winter","32",12,0.25,0.76,0.515,0.123,0.495,0.135,0.039,0.086
"% FA","C18:3n6 gamma linolenic (GLA)","Spring/Summer","54",12,0.39,1.1,0.615,0.192,0.635,0.188,0.054,0.119
"% FA","C18:3n6 gamma linolenic (GLA)","Autumn/Winter","54",12,0.26,0.74,0.44,0.19,0.458,0.144,0.041,0.091
"% FA","C18:4n3 stearidonic acid (SDA)","Spring/Summer","13",12,2.1,10.5,3.25,1.325,4.025,2.328,0.672,1.479
"% FA","C18:4n3 stearidonic acid (SDA)","Autumn/Winter","13",12,1.2,2.7,2.05,0.5,1.95,0.421,0.122,0.268
"% FA","C18:4n3 stearidonic acid (SDA)","Spring/Summer","32",12,2.6,4.8,3.6,1.025,3.525,0.73,0.211,0.464
"% FA","C18:4n3 stearidonic acid (SDA)","Autumn/Winter","32",12,0.88,3.7,2.75,0.6,2.615,0.75,0.216,0.476
"% FA","C18:4n3 stearidonic acid (SDA)","Spring/Summer","54",12,3,7.5,3.85,1,4.183,1.225,0.354,0.778
"% FA","C18:4n3 stearidonic acid (SDA)","Autumn/Winter","54",12,1.1,3.6,2.5,0.75,2.508,0.773,0.223,0.491
"% FA","C20:0 arachidic acid","Spring/Summer","13",12,0.3,0.7,0.475,0.13,0.485,0.124,0.036,0.078
"% FA","C20:0 arachidic acid","Autumn/Winter","13",12,0,0.69,0.16,0.438,0.235,0.264,0.076,0.168
"% FA","C20:0 arachidic acid","Spring/Summer","32",12,0.4,0.8,0.63,0.205,0.616,0.133,0.038,0.085
"% FA","C20:0 arachidic acid","Autumn/Winter","32",12,0.12,0.19,0.145,0.04,0.15,0.026,0.007,0.016
"% FA","C20:0 arachidic acid","Spring/Summer","54",12,0.74,1.5,0.94,0.385,1.046,0.261,0.075,0.166
"% FA","C20:0 arachidic acid","Autumn/Winter","54",12,0.12,0.54,0.25,0.077,0.25,0.105,0.03,0.067
"% FA","C20:1 gadoleic acid","Spring/Summer","13",12,0,0,0,0,0,0,0,0
"% FA","C20:1 gadoleic acid","Autumn/Winter","13",12,0,0,0,0,0,0,0,0
"% FA","C20:1 gadoleic acid","Spring/Summer","32",12,0,0.35,0.215,0.083,0.193,0.086,0.025,0.055
"% FA","C20:1 gadoleic acid","Autumn/Winter","32",12,0,0.25,0,0,0.031,0.077,0.022,0.049
"% FA","C20:1 gadoleic acid","Spring/Summer","54",12,0,0.52,0.345,0.073,0.322,0.129,0.037,0.082
"% FA","C20:1 gadoleic acid","Autumn/Winter","54",12,0,0.3,0.16,0.225,0.128,0.12,0.035,0.076
"% FA","C20:3n6 cis-8,11,14-eicosatrienoic acid","Spring/Summer","13",12,0.13,0.92,0.195,0.155,0.261,0.219,0.063,0.139
"% FA","C20:3n6 cis-8,11,14-eicosatrienoic acid","Autumn/Winter","13",12,0,0,0,0,0,0,0,0
"% FA","C20:3n6 cis-8,11,14-eicosatrienoic acid","Spring/Summer","32",12,0.22,0.51,0.335,0.155,0.344,0.099,0.029,0.063
"% FA","C20:3n6 cis-8,11,14-eicosatrienoic acid","Autumn/Winter","32",12,0,0.24,0,0.12,0.065,0.087,0.025,0.055
"% FA","C20:3n6 cis-8,11,14-eicosatrienoic acid","Spring/Summer","54",12,0.27,0.44,0.3,0.042,0.312,0.048,0.014,0.031
"% FA","C20:3n6 cis-8,11,14-eicosatrienoic acid","Autumn/Winter","54",12,0,0.19,0,0.14,0.062,0.078,0.022,0.049
"% FA","C20:4n3 eicosatetraenoic acid","Spring/Summer","13",12,0.16,0.49,0.23,0.11,0.265,0.1,0.029,0.064
"% FA","C20:4n3 eicosatetraenoic acid","Autumn/Winter","13",12,0,0,0,0,0,0,0,0
"% FA","C20:4n3 eicosatetraenoic acid","Spring/Summer","32",12,0.25,0.46,0.35,0.087,0.334,0.063,0.018,0.04
"% FA","C20:4n3 eicosatetraenoic acid","Autumn/Winter","32",12,0,0.25,0.16,0.12,0.135,0.091,0.026,0.058
"% FA","C20:4n3 eicosatetraenoic acid","Spring/Summer","54",12,0.35,0.66,0.485,0.167,0.492,0.106,0.031,0.068
"% FA","C20:4n3 eicosatetraenoic acid","Autumn/Winter","54",12,0,0.23,0.19,0.065,0.168,0.065,0.019,0.041
"% FA","C20:4n6 arachidonic acid (AA)","Spring/Summer","13",12,0.92,4,1.5,0.625,1.76,0.864,0.249,0.549
"% FA","C20:4n6 arachidonic acid (AA)","Autumn/Winter","13",12,0,0.63,0,0.465,0.202,0.258,0.075,0.164
"% FA","C20:4n6 arachidonic acid (AA)","Spring/Summer","32",12,1.8,6.6,2.75,0.75,2.992,1.239,0.358,0.787
"% FA","C20:4n6 arachidonic acid (AA)","Autumn/Winter","32",12,0.15,0.8,0.505,0.285,0.506,0.211,0.061,0.134
"% FA","C20:4n6 arachidonic acid (AA)","Spring/Summer","54",12,2.2,7.4,3.7,1.575,4.108,1.577,0.455,1.002
"% FA","C20:4n6 arachidonic acid (AA)","Autumn/Winter","54",12,0.28,1.3,0.79,0.38,0.792,0.312,0.09,0.198
"% FA","C20:5n3 eicosapentaenoic acid","Spring/Summer","13",12,2.3,8.1,4.35,1.525,4.817,1.737,0.501,1.103
"% FA","C20:5n3 eicosapentaenoic acid","Autumn/Winter","13",12,1.7,5.3,3.7,0.95,3.558,0.939,0.271,0.597
"% FA","C20:5n3 eicosapentaenoic acid","Spring/Summer","32",12,5.7,11.1,6.4,1.125,6.908,1.529,0.441,0.972
"% FA","C20:5n3 eicosapentaenoic acid","Autumn/Winter","32",12,1.2,6.3,4.15,1.825,4.2,1.571,0.454,0.998
"% FA","C20:5n3 eicosapentaenoic acid","Spring/Summer","54",12,8,12.1,10.6,1.875,10.35,1.299,0.375,0.826
"% FA","C20:5n3 eicosapentaenoic acid","Autumn/Winter","54",12,1.9,6.2,3.75,1.65,4.042,1.337,0.386,0.85
"% FA","C22:0 behenic acid","Spring/Summer","13",12,0.31,0.74,0.435,0.118,0.454,0.119,0.034,0.076
"% FA","C22:0 behenic acid","Autumn/Winter","13",12,0,0.63,0.13,0.318,0.197,0.228,0.066,0.145
